file,hue,saturation,brightness,lat,lon,alt,date,make,model,aperature,azimuth,radiation,cloudCover,visibility,precipProb,som,soc
eaglePoint.jpg,111.05162446,32.0136814534,96.4573459366,33.39364722222222,-86.67666666666668,209.0586204515639,2019:12:01 11:19:52,Apple,iPhone 8,"(9, 5)",-27.9,1655.47,0.31,9.763,0.82,10,5.81
new_brooklyn.jpg,16.5891246352,147.700899008,139.520119221,38.93703055555555,-76.95859444444444,24.054323626324695,2019:11:11 12:58:22,Apple,iPhone 6s,"(11, 5)",-58.28,824.79,0.3,10,0,5.1664,3.0007
